Route,Total Weight,Miles,House Count
RMBS33,224880,186,848
RMBS34,178760,105,1003
RMBS35,219120,151,1563
RTBS33,204480,151,751
RTBS34,214520,130,1063
RTBS35,143720,157,956
RWBS33,227810,161,1084
RWBS34,207897,128,1157
RWBS35,311378,277,1610
RHBS33,210756,208,1151
RHBS34,198060,137,1432
RHBS35,302190,198,1523
RFBS33,194679,223,1175
RFBS34,228240,130,1125
RFBS35,180640,143,995
RMAS33,269780,205,1101
RMAS34,263320,191,1178
RMAS35,247280,179,1207
RTAS33,216420,156,1061
RTAS34,209020,126,1129
RTAS35,261020,208,1094
RWAS33,253610,166,1141
RWAS34,229857,221,1576
RWAS35,215920,213,1556
RHAS33,168720,225,968
RHAS34,235300,202,1246
RHAS35,124647,94,1240
RFAS33,211290,137,1016
RFAS35,324540,322,1589
RMBS40,188080,91,754
RMBS41,245260,306,1148
RMBS42,167700,78,797
RMBS43,216820,138,1096
RTBS40,215940,273,995
RTBS41,201700,128,758
RTBS43,217160,146,760
RWBS40,204768,208,837
RWBS41,215468,133,1189
RWBS42,123467,86,1189
RWBS43,260804,269,1249
RHBS40,184211,145,979
RHBS42,191471,131,1045
RHBS43,323411,247,1225
RFBS40,172372,224,1507
RFBS41,217320,203,880
RFBS42,271137,271,961
RMAS40,199860,145,833
RMAS41,282880,222,1225
RMAS42,211160,153,966
RTAS40,182940,96,724
RTAS41,244260,190,1148
RTAS42,228080,169,1056
RTAS43,105260,60,1056
RWAS40,179051,164,738
RWAS41,214907,181,915
RWAS42,208074,137,990
RWAS43,111640,140,990
RHAS40,166340,170,555
RHAS41,210711,163,1096
RHAS42,148206,162,1096
RHAS43,195457,137,1283
RFAS41,209917,128,951
RFAS42,103371,148,1402
RFAS43,180900,292,1125
RHBS41,24380,14,979
RFBS43,20840,23,961
RMAS43,19520,13,966
RMBU10,320460,334,1239
RMBU11,307280,269,1146
RMBU12,277740,289,1213
RMBU13,261900,266,1384
RMBU14,282600,375,833
RMBU15,241140,277,715
RMBU16,235380,227,679
RTBU10,216760,191,645
RTBU11,226480,241,751
RTBU13,253540,318,834
RTBU15,233520,262,1008
RTBU16,191180,278,581
RWBU10,237934,343,905
RWBU11,215629,212,858
RWBU12,199740,276,873
RWBU13,208378,419,667
RWBU14,261504,389,890
RWBU16,239453,327,839
RHBU10,257796,276,776
RHBU11,219700,213,769
RHBU12,243278,219,841
RHBU13,244985,278,853
RHBU14,215066,257,752
RHBU16,247020,258,803
RFBU10,218284,196,830
RFBU11,229686,202,1030
RFBU13,230346,218,923
RFBU14,250306,307,957
RFBU15,200738,257,1116
RFBU16,224620,218,916
RMAU10,290560,313,1112
RMAU11,298560,306,1188
RMAU12,193040,201,983
RMAU14,267560,299,1089
RMAU15,236400,268,909
RMAU16,277080,239,791
RTAU10,211720,223,776
RTAU11,222720,263,843
RTAU13,214480,317,1254
RTAU14,229500,264,866
RTAU15,236640,287,1089
RTAU16,221380,303,868
RWAU10,245530,276,1035
RWAU12,241912,308,944
RWAU13,254840,317,906
RWAU14,231602,300,917
RWAU15,233440,342,944
RWAU16,254286,387,1034
RHAU10,255468,262,937
RHAU11,221686,225,858
RHAU12,191706,195,903
RHAU13,233440,293,857
RHAU14,236259,257,1122
RHAU15,262600,275,1338
RFAU10,259750,4354,1052
RFAU12,201223,252,858
RFAU13,205380,264,799
RFAU15,216106,277,667
RFAU16,239746,313,739
RTBU12,189460,188,586
RWAU11,218540,263,985
RMBU20,340760,326,1445
RMBU21,282100,255,1637
RMBU22,313320,315,1469
RMBU23,275960,204,860
RMBU24,321320,260,1096
RMBU25,261620,295,1020
RMBU26,277060,257,1215
RTBU20,252440,205,913
RTBU21,212480,194,847
RTBU22,206880,168,769
RTBU23,194180,201,935
RTBU26,250440,236,872
RWBU20,266119,282,1116
RWBU21,246000,216,1331
RWBU22,250660,291,1573
RWBU23,238740,208,1192
RWBU24,311560,251,1020
RWBU25,226368,254,969
RHBU20,256126,182,774
RHBU21,229140,247,760
RHBU22,225160,211,1103
RHBU24,276100,264,1269
RHBU25,237900,247,1061
RHBU26,242500,270,1031
RFBU20,220440,280,1459
RFBU21,215000,240,1058
RFBU22,251320,209,1144
RFBU23,249880,255,1091
RFBU24,231760,289,856
RFBU25,217800,233,914
RMAU20,248760,182,896
RMAU21,245060,256,1345
RMAU22,263540,233,1299
RMAU23,263540,269,1591
RMAU24,322320,300,948
RMAU25,243960,193,922
RTAU20,244260,189,1025
RTAU21,240500,243,1411
RTAU22,236860,193,819
RTAU23,205560,167,1002
RTAU24,232400,264,1003
RTAU26,222940,242,798
RWAU20,244160,268,990
RWAU21,206400,188,837
RWAU22,230100,260,1113
RWAU23,214420,195,1068
RWAU24,273040,241,1518
RWAU26,215267,206,1330
RHAU20,284140,265,1359
RHAU21,231780,213,1076
RHAU22,267980,242,1279
RHAU23,265880,216,1260
RHAU24,289960,286,1095
RHAU26,267764,352,1399
RFAU20,252640,276,1577
RFAU21,246460,301,1717
RFAU22,233760,211,907
RFAU25,335140,414,1638
RFAU26,248780,246,979
RFAS40,15274,18,1589
RTBS42,14460,10,758
RHBU15,24062,27,752
RWBU26,141440,143,937
RMAU13,20660,22,983
RTAU12,76740,80,761
RHAU16,22280,20,1338
RHAU25,122560,111,1278
RHBU23,53020,42,1103
RWAU25,78760,109,1016
